VENDOR REQUESTS AND TABLE NUMBERS,ARRIVED
47,1847Financial,,,,,,,,,,,,,,,,,,,,,,,,
23,A Gift of Smiles,,,,,,,,,,,,,,,,,,,,,,
45,Abby Care,,,,,,,,,,,,,,,,,,,,,,
61,Advocacy & Family Education at the Arc ,,,,,,,,,,,,,,,,,,,,,,
31,All American Home Care,,,,,,,,,,,,,,,,,,,,,,,,
27,All In Theatre,,,,,,,,,,,,,,,,,,,,,,,,
33,AmeriHealth Caritas Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
9,ASERT,,,,,,,,,,,,,,,,,,,,,,,,
28,Autism Society Greater Harrisburg Area,,,,,,,,,,,,,,,,,,,,,,,,
44,"BalanSense-Therapy, LLC",,,,,,,,,,,,,,,,,,,,,,,,
18,Behavioral Milestones,,,,,,,,,,,,,,,,,,,,,,,,
70,Carlisle Area Sertoma Club,,,,,,,,,,,,,,,,,,,,,,,,
58,Center for Community Resources,,,,,,,,,,,,,,,,,,,,,,,,
5,Children's Miracle Network Extra Life,,,,,,,,,,,,,,,,,,,,,,,,
49,Clear Path Pediatric Therapy LLC,,,,,,,,,,,,,,,,,,,,,,,,
41,Community Benefits Solutions/Asset Protectors,,,,,,,,,,,,,,,,,,,,,,,,
48,Cumberland/Perry MH/IDD,,,,,,,,,,,,,,,,,,,,,,,,
6,Developmental Fitness Co,,,,,,,,,,,,,,,,,,,,,,,,
55,Epilepsy Association of Western and Central PA,,,,,,,,,,,,,,,,,,,,,,,,
30,Family Support Services UCP Central PA,,,,,,,,,,,,,,,,,,,,,,,,
62,Focus Behavioral Health,,,,,,,,,,,,,,,,,,,,,,,,
15,Hands and Feet Ministry,,,,,,,,,,,,,,,,,,,,,,,,
69,HLAA Capital Region Chapter,,,,,,,,,,,,,,,,,,,,,,,,
40,Horizons Creative Studio,,,,,,,,,,,,,,,,,,,,,,,,
10,Jewish Family Service of Greater Harrisburg,,,,,,,,,,,,,,,,,,,,,,,,
25,"K & K Connections- Spectrum Spark Society, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
67,"Kelly-Cutia Team, Realtors",,,,,,,,,,,,,,,,,,,,,,,,
53,Kira’s Grace Foundation,,,,,,,,,,,,,,,,,,,,,,,,
65,Latino Connection,,,,,,,,,,,,,,,,,,,,,,,,
14,Lehigh Valley Center for Independent Living,,,,,,,,,,,,,,,,,,,,,,,,
51,Lindsay Wellman (Master IEP Coach® / Special Ed Consultant),,,,,,,,,,,,,,,,,,,,,,,,
63,Luke5adventures,,,,,,,,,,,,,,,,,,,,,,,,
Lobby,MASD Life Skills,,,,,,,,,,,,,,,,,,,,,,,,
7,Meatball Man and Hoagie Boy,,,,,,,,,,,,,,,,,,,,,,,,
42,NAMI Cumberland and Perry Counties PA,,,,,,,,,,,,,,,,,,,,,,,,
2,Neurabilities,,,,,,,,,,,,,,,,,,,,,,,,
19-21,Neurodiverse Network,,,,,,,,,,,,,,,,,,,,,,,,
1,NEXT Steps at Messiah University,,,,,,,,,,,,,,,,,,,,,,,,
37,"Notes of Healing Music Therapy, LLC",,,,,,,,,,,,,,,,,,,,,,,,
52,OneWell Health Care,,,,,,,,,,,,,,,,,,,,,,,,
36,OVR,,,,,,,,,,,,,,,,,,,,,,,,
60,Parent to Parent of PA,,,,,,,,,,,,,,,,,,,,,,,,
26,Penn State Harrisburg Career Studies Program- Post Secondary ,,,,,,,,,,,,,,,,,,,,,,,,
59,Pennie,,,,,,,,,,,,,,,,,,,,,,,,
34,PerformCare,,,,,,,,,,,,,,,,,,,,,,,,
61,PPL First,,,,,,,,,,,,,,,,,,,,,,,,
54,PPL WRAP Program,,,,,,,,,,,,,,,,,,,,,,,,
64,"Rejoicing Spirits - First United Methodist Church, Mechanicsburg",,,,,,,,,,,,,,,,,,,,,,,,
38,Sadler Health Center,,,,,,,,,,,,,,,,,,,,,,,,
66,Safe Optimal Spaces,,,,,,,,,,,,,,,,,,,,,,,,
68,Senator Dawn Keefer,,,,,,,,,,,,,,,,,,,,,,,,
17,SimplyHome,,,,,,,,,,,,,,,,,,,,,,,,
46,Speaking For Ourselves,,,,,,,,,,,,,,,,,,,,,,,,
13,Spectrum Friends,,,,,,,,,,,,,,,,,,,,,,,,
29,TechOWL,,,,,,,,,,,,,,,,,,,,,,,,
3 & 4,The Bodhana Group,,,,,,,,,,,,,,,,,,,,,,,,
35,The Family Heritage Trust Company,,,,,,,,,,,,,,,,,,,,,,,,
32,The King's Table Schoolhouse,,,,,,,,,,,,,,,,,,,,,,,,
12,The PEAL Center,,,,,,,,,,,,,,,,,,,,,,,,
50,The YMCA Center for Healthy Living,,,,,,,,,,,,,,,,,,,,,,,,
11,Thrive Center for Independent Living,,,,,,,,,,,,,,,,,,,,,,,,
8,UDS Service Dogs,,,,,,,,,,,,,,,,,,,,,,,,
39,Values Into Action,,,,,,,,,,,,,,,,,,,,,,,,
22,Vision Resources of Central Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
24,Empty,,,,,,,,,,,,,,,,,,,,,,,,
43,Empty,,,,,,,,,,,,,,,,,,,,,,,,
56,Empty,,,,,,,,,,,,,,,,,,,,,,,,
57,Empty,,,,,,,,,,,,,,,,,,,,,,,,
,Needs Electric,,,,,,,,,,,,,,,,,,,,,,,,
,Has Banner,,,,,,,,,,,,,,,,,,,,,,,,
,Both,,,,,,,,,,,,,,,,,,,,,,,,
